UsedInCrashSignature,FrameIndex,FrameAddress,FrameAdjustedAddress,ModuleBaseAddress,ModuleName
0,12,0x00007FFBFCE0A3BA,0x00000000000CA3BA,0x00007FFBFCD40000,C:\WINDOWS\System32\KERNELBASE.dll
1,11,0x00007FF7A3546ABE,0x0000000008576ABE,0x00007FF79AFD0000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.81.0_x64_ww_5bkah9njm3e9g\cod.exe
1,10,0x00007FF7A2CA7847,0x0000000007CD7847,0x00007FF79AFD0000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.81.0_x64_ww_5bkah9njm3e9g\cod.exe
1,9,0x00007FF7A2CBD6CF,0x0000000007CED6CF,0x00007FF79AFD0000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.81.0_x64_ww_5bkah9njm3e9g\cod.exe
1,8,0x00007FF79DBE6CC8,0x0000000002C16CC8,0x00007FF79AFD0000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.81.0_x64_ww_5bkah9njm3e9g\cod.exe
1,7,0x00007FF79DC3E0A1,0x0000000002C6E0A1,0x00007FF79AFD0000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.81.0_x64_ww_5bkah9njm3e9g\cod.exe
1,6,0x00007FF79DBF9802,0x0000000002C29802,0x00007FF79AFD0000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.81.0_x64_ww_5bkah9njm3e9g\cod.exe
1,5,0x00007FF79DBF9266,0x0000000002C29266,0x00007FF79AFD0000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.81.0_x64_ww_5bkah9njm3e9g\cod.exe
1,4,0x00007FF79DBF8850,0x0000000002C28850,0x00007FF79AFD0000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.81.0_x64_ww_5bkah9njm3e9g\cod.exe
0,3,0x00007FF7A33E4034,0x0000000008414034,0x00007FF79AFD0000,C:\Program Files\WindowsApps\38985CA0.COREBase_1.0.81.0_x64_ww_5bkah9njm3e9g\cod.exe
0,2,0x00007FFBFEFFE8D7,0x000000000002E8D7,0x00007FFBFEFD0000,C:\WINDOWS\System32\KERNEL32.DLL
0,1,0x00007FFBFFB9C5DC,0x000000000009C5DC,0x00007FFBFFB00000,C:\WINDOWS\SYSTEM32\ntdll.dll
#,,,,,Number of frames captured: 12
#,,,,,Crash signature generated - based on 8 frames : 190F1390-F546CF99-AE0E93E1-96C08017
