process_name,page_fault_count,peak_working_set_size,working_set_size,quota_peak_paged_pool_usage,quota_paged_pool_usage,quota_peak_non_paged_pool_usage,quota_non_paged_pool_usage,page_file_usage,peak_page_file_usage
winlogon.exe,9792,31158272,15343616,191568,159160,224560,13600,3104768,4218880
,1335,4259840,4169728,56568,30912,6536,6264,1208320,1277952
svchost.exe,14130,47149056,47071232,460896,447256,51672,33728,7962624,8552448
WUDFHost.exe,2222,8531968,8400896,65064,64632,14520,10328,1835008,1966080
fontdrvhost.exe,1366,4976640,4771840,42288,42288,8032,7216,1662976,1777664
fontdrvhost.exe,15339,18825216,15413248,502672,224360,26120,16464,6684672,8896512
svchost.exe,19345,30679040,30134272,162208,144784,25304,21368,6909952,7462912
WUDFHost.exe,6916,24203264,22904832,155616,154728,32512,29168,9891840,10530816
svchost.exe,6599,22470656,22429696,118656,113808,13472,12656,3219456,3383296
WUDFHost.exe,6283,15577088,15577088,138632,117032,19276,16768,4476928,4526080
dwm.exe,288577,278695936,203943936,1166840,1114064,196696,92936,158068736,159739904
svchost.exe,3115,12013568,11841536,61792,61616,13160,11704,1228800,1581056
svchost.exe,331434,463298560,36270080,1002008,148792,82496,34408,6397952,6529024
svchost.exe,9908,17715200,16793600,166520,97432,35720,13800,2670592,3325952
svchost.exe,6771,24653824,24576000,105344,105184,33496,15216,3436544,3629056
svchost.exe,6545,24924160,24920064,117296,114032,11840,10480,2334720,2818048
svchost.exe,6645,25657344,25657344,121976,118248,12800,11568,2740224,3129344
svchost.exe,8162,27725824,27561984,263568,251408,33152,18952,6680576,7311360
svchost.exe,4173,15425536,15421440,62072,62072,26792,26648,5103616,5107712
svchost.exe,12545,37720064,37552128,158312,157864,131576,33386,9289728,9457664
svchost.exe,3527,13385728,13385728,63888,63712,8848,7760,1794048,2002944
svchost.exe,4309,16273408,16232448,73440,73216,24344,23800,2162688,2318336
svchost.exe,6171,22274048,22233088,86712,84840,19472,11568,2682880,3203072
WUDFHost.exe,2766,10682368,10465280,114880,114608,16528,11960,2121728,2220032
NVDisplay.Container.exe,698181,59826176,53317632,292856,288440,40768,24536,24518656,34734080
svchost.exe,9679,23371776,23085056,99776,97536,57276,18344,3903488,4198400
svchost.exe,70178,107872256,36663296,433880,428840,26864,25376,20127744,22798336
svchost.exe,4566,16216064,16146432,71648,69792,9392,8712,1560576,1691648
svchost.exe,31132,33259520,28471296,121184,120848,17696,14080,2875392,9191424
svchost.exe,7840,25583616,25321472,209280,114128,78976,12360,3440640,4329472
svchost.exe,12104,47529984,46796800,240408,145168,13368,11816,2060288,2465792
svchost.exe,4942,17534976,17379328,87752,87096,47528,12680,3215360,3416064
svchost.exe,9879,36093952,36044800,186504,132784,22176,16512,8695808,9424896
svchost.exe,7573,20557824,20353024,82328,81880,114600,13096,3289088,3579904
svchost.exe,3973,14761984,14667776,78768,70648,16808,10064,1789952,1916928
svchost.exe,6311,22704128,22683648,100272,100272,67440,17432,4018176,4227072
svchost.exe,3728,13549568,13533184,69376,69200,43312,10176,2105344,2174976
svchost.exe,9689,30121984,30081024,159784,114168,29640,17160,3088384,4304896
svchost.exe,18244,43302912,40087552,133864,126000,286736,35456,11288576,14094336
svchost.exe,5396,20148224,20127744,91688,90728,16680,11784,2285568,2371584
svchost.exe,11219,31870976,31793152,97624,94320,11760,11024,10076160,10153984
svchost.exe,5315,20086784,20021248,81072,80976,11344,10536,2162688,2527232
svchost.exe,267532,353681408,39587840,1353880,142568,2132584,27240,13799424,428961792
svchost.exe,4205,14712832,14696448,67040,66896,9528,8576,1699840,1949696
svchost.exe,7518,28200960,28135424,112624,111680,71416,20192,3592192,4370432
svchost.exe,3124,12115968,12079104,64992,64992,11584,9216,1392640,1708032
svchost.exe,5907,22667264,22593536,97680,97472,12952,11256,2293760,2605056
svchost.exe,262243,45924352,42536960,139064,130792,33904,23496,15355904,21962752
nvcontainer.exe,48235,48873472,47079424,346104,321000,96120,45320,13897728,15896576
RazerCentralService.exe,62278,102526976,102481920,539632,521792,278280,59800,50085888,50745344
GameManagerService.exe,82429,90554368,90210304,453744,407952,85064,70152,52924416,54599680
ipf_uf.exe,2712,8622080,8495104,117056,87128,17648,9864,2142208,2310144
jhi_service.exe,2148,8425472,8105984,92840,92424,10800,9736,1429504,1597440
AUDIODG.EXE,9683,23867392,23805952,133632,130024,32368,29168,13094912,13156352
RstMwService.exe,3587,11177984,10608640,94336,92840,82760,11768,2572288,3178496
RtkAudUService64.exe,10474,18120704,16343040,168888,123216,24368,14824,4505600,14397440
WMIRegistrationService.exe,4251,15708160,14876672,137488,128856,23736,14344,2793472,3743744
ipfsvc.exe,1963,7421952,7421952,66712,55544,14400,13296,1675264,1777664
OfficeClickToRun.exe,35034,99274752,70266880,333848,317816,60416,27008,38641664,70582272
svchost.exe,6448,23883776,23863296,104776,95248,17360,13200,2625536,2801664
NVDisplay.Container.exe,205233,201961472,78848000,433856,411840,70120,35688,40640512,169574400
svchost.exe,3711,13950976,13950976,68136,67960,11088,9120,1720320,1929216
wmiprvse.exe,47068,49364992,25284608,303144,112528,95896,17960,18370560,38547456
wmiprvse.exe,240148,35643392,30134272,278408,131592,56312,19504,16334848,20221952
svchost.exe,5602,21495808,21454848,85272,82736,15928,11768,2748416,2990080
Razer Synapse Service.exe,247083,216530944,216530944,906888,853640,402616,321438,130031616,130035712
svchost.exe,9971,29593600,29556736,293576,105160,15640,13672,7868416,7905280
ipf_helper.exe,68729,9019392,8581120,120304,119064,11560,10544,1888256,2289664
nvcontainer.exe,45818,49979392,38432768,488624,294496,51600,22848,10293248,64458752
nvcontainer.exe,221301,186818560,79958016,341720,306088,78732,45188,52441088,191442944
sihost.exe,9543,35446784,34729984,307256,300632,23408,18632,6365184,6574080
svchost.exe,10674,41897984,41877504,189712,189456,49072,16352,4988928,5136384
svchost.exe,5048,19906560,19894272,115248,114816,10248,9528,2281472,2490368
svchost.exe,14767,56950784,56926208,253680,252496,33416,17856,6594560,6983680
taskhostw.exe,5509,19042304,18976768,188272,186952,34496,27200,4931584,5111808
