UsedInCrashSignature,FrameIndex,FrameAddress,FrameAdjustedAddress,ModuleBaseAddress,ModuleName
0,9,0x00007FFF9A2DC95A,0x00000000000CC95A,0x00007FFF9A210000,C:\Windows\System32\KERNELBASE.dll
1,8,0x00007FF6F4567C6D,0x0000000004367C6D,0x00007FF6F0200000,D:\Games\Cold War\Call of Duty\_retail_\mp24\mp24-cod.exe
1,7,0x00007FF6F34E9BB0,0x00000000032E9BB0,0x00007FF6F0200000,D:\Games\Cold War\Call of Duty\_retail_\mp24\mp24-cod.exe
1,6,0x00007FF6F34E83C3,0x00000000032E83C3,0x00007FF6F0200000,D:\Games\Cold War\Call of Duty\_retail_\mp24\mp24-cod.exe
1,5,0x00007FF6F3AF5ABF,0x00000000038F5ABF,0x00007FF6F0200000,D:\Games\Cold War\Call of Duty\_retail_\mp24\mp24-cod.exe
1,4,0x00007FF6F3AF8AB1,0x00000000038F8AB1,0x00007FF6F0200000,D:\Games\Cold War\Call of Duty\_retail_\mp24\mp24-cod.exe
1,3,0x00007FF6F44EEB70,0x00000000042EEB70,0x00007FF6F0200000,D:\Games\Cold War\Call of Duty\_retail_\mp24\mp24-cod.exe
0,2,0x00007FFF9C93DBE7,0x000000000002DBE7,0x00007FFF9C910000,C:\Windows\System32\KERNEL32.DLL
0,1,0x00007FFF9CEDA94C,0x00000000000DA94C,0x00007FFF9CE00000,C:\Windows\SYSTEM32\ntdll.dll
#,,,,,Number of frames captured: 9
#,,,,,Crash signature generated - based on 6 frames : 79154733-B6AD2803-66AFB32D-4CFE3AAC
